大学名称,项目名称,项目英文名称,录取概率,重要日期,详细描述,项目URL,IELTS要求,申请截止日期,申请要求,学费信息,项目时长
香港中文大学,科学人工智能,MSc in Artificial Intelligence for Science,60%,1月中,"第一个是香港中文大学的科学人工智能,这个录取概率百分之六十以上预计1月中旬出结果",https://www.gs.cuhk.edu.hk/admissions/programme/science#msc-in-artificial-intelligence-for-science,,"2026年4月30日","获得认可的大学工程或科学学科本科学位；或完成其他学科本科学位后具有两年相关专业工作经验。","350,000港币（整个项目，需大学批准）","全日制: 1.5年; 非全日制: 3年"
南洋理工大学,人工智能理学硕士,Master of Computing in Applied Artificial Intelligence,60%,"1月中面试,2月录取","第二个是南洋理工大学的人工智能理学硕士这个录取概率百分之六十以上需要先在线面试才能录取预计1月中下旬到2月初面试二月中下旬录取",https://www.ntu.edu.sg/computing/admissions/graduate-programmes/detail/master-of-computing-in-applied-ai-mcaai,雅思: 6.0+,"","需获得南洋理工大学认可的学士学位。非英语授课大学的毕业生需提供TOEFL ≥ 85或雅思 ≥ 6.0的成绩。对于以英语完成本科教育的申请者，需要提供教学语言证明（MOI）信函。至少2年工作经验者优先考虑。","学费: 65,400新加坡元; 押金: 5,000新加坡元","全日制 – 3个学期 | 非全日制 – 6个学期"
香港中文大学,计算机科学与硕士,MSc in Computer Science,30%,2月前,"第三个是香港中文大学的计算机科学与硕士这个录取概率大概百分之三十现在开始到明年2月初之间随时有可能录取,如果到明年2月初还没有录取 那就没机会了",https://www.gs.cuhk.edu.hk/admissions/programme/engineering#msc-in-computer-scIence,,"2026年1月31日","毕业于认可的大学并获得计算机科学、计算机工程或相关领域的学士学位。此外还需满足研究生院的一般要求。","全日制: 264,000港币分2期付款; 非全日制: 228,800港币分4期付款","全日制: 1年; 非全日制: 2年"
香港大学,创新设计与工程,Master of Science in Engineering (Innovative Design and Technology),100%,"12月底-1月中","第4个 香港大学创新设计与工程 这个专业 留服认证为计算机科学与技术肯定会录取,预计录取时间是12月底到1月中旬",https://mech.hku.hk/idt/,,"待查询","需完成72学分，包括至少36学分的学科课程、不超过12学分的选修课程和24学分的毕业项目。申请者需完成8门课程，其中至少4门来自List A。","待查询","全日制: 1年; 非全日制: 2年"
香港大学,计算机科学与技术通识方向,Master of Science in Computer Science General Stream,60%,1月中面试,"第5个 香港大学计算机科学与技术通识方向这个预计1月中下旬会发在深圳的线下笔面试录取概率6成左右",https://admissions.hku.hk/tpg/programme/master-science-computer-science-1,,"第一轮（主要）: 2025年12月1日中午12:00（GMT+8）; 第二轮（补录）: 2026年3月31日中午12:00（GMT+8）","学士学位或同等学历","本地学生: 240,000港币; 非本地学生: 334,800港币","1年（全日制）"
香港中文大学,信息工程理学硕士,MSc in Information Engineering,45%,2月中下,"第6个 香港中文大学信息工程理学硕士这个留服认证是计算机科学与技术录取概率百分之四十五左右如果会下录取的话大致就是2月中旬或者之前下",https://www.gs.cuhk.edu.hk/admissions/programme/engineering#msc-in-information-engineering,,"第一轮: 2025年9月30日; 第二轮: 2025年11月1日; 第三轮: 2025年12月1日; 第四轮: 2026年3月31日","毕业于认可的大学并获得工程、科学或相关领域的学士学位，通常要求二等荣誉学位或以上，或本科课程平均成绩达到B或以上；或完成高等教育机构的相关课程并获得相当于相关领域荣誉学位的专业或类似资格；或拥有其他领域的本科学位并具有相关背景。","全日制: 260,500港币分2期付款; 非全日制: 242,500港币分3期付款","全日制: 1年; 非全日制: 2年"
香港大学,人工智能,MSc in Artificial Intelligence,40%,2月底,"第7个 香港大学人工智能 这个项目非常卷录取概率4成左右会录取的话就是在2月底之前",https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-science-in-artificial-intelligence-sci&mode=0,,"第一轮（主要）: 2025年12月1日中午12:00（GMT+8）; 第二轮（补录）: 2026年2月9日中午12:00（GMT+8）","学士学位或同等学历；申请者应具备线性代数、微积分、概率论、统计学基础和计算机编程知识；满足大学入学要求","390,000港币","1.5年（全日制）"
新加坡国立大学,科学人工智能,MSc AI for Science,50%,3月下,"第8个项目 新加坡国立大学的科学人工智能这个项目录取概率5成左右会录取的话就是3月下旬之前都有可能录取",https://www.physics.nus.edu.sg/student/msc-ai-for-science/,雅思: 6.0,"提前录取: 5月16日至7月15日（结果9月30日公布）; 常规录取: 10月1日至3月15日（结果5月30日公布）","获得科学、工程或应用数学的荣誉学士学位或4年制学士学位。非英语授课大学的毕业生需提供TOEFL ≥ 85或雅思 ≥ 6.0的成绩。","待查询（需参考PDF文件）","全日制: 1年（最长2年）; 非全日制: 2年（最长4年）"
新加坡国立大学,数据科学与机器学习,Master of Science in Data Science & Machine Learning,10%,5月底,"第9个项目是新加坡国立大学的数据科学与机器学习 这个项目的录取概率是百分之十不到5月底之前都有可能下录取",https://www.math.nus.edu.sg/cdsml/ms-dsml/dsml-prospective-students/,雅思: 6.0,"待查询","获得定量科学（如数学、统计学、物理学）、工程或计算机科学的荣誉学士学位或4年制学士学位或同等学历。非英语母语且本科教学语言非完全英语的申请者需提供TOEFL ≥ 85或雅思 ≥ 6.0的成绩。","待查询（需参考PDF文件，分2-4学期付款）","全日制: 1-2年; 非全日制: 2-4年"
新加坡国立大学,人工智能与创新理学硕士,MSc Artificial Intelligence & Innovation,70%,待查询,新加坡国立大学人工智能与创新理学硕士项目专注于利用人工智能的力量在不同的行业和企业进行创新，该专业的综合课程为来自科学、技术、工程与数学（STEM）和非 STEM 背景的学生提供人工智能方面的知识和技能，使他们能够在各个领域进行创新，为整个经济和社会的发展做出贡献。新加坡国立大学人工智能与创新理学硕士项目与新加坡政府的新加坡国家人工智能战略 2.0 相一致，为成人学习者提供毕业后的继续教育机会，以跟上行业和工作性质的变化。,https://masters.nus.edu.sg/programmes/master-of-science-(artificial-intelligence-and-innovation),雅思: 6.0,01/11/2025 - 31/01/2026,具有学士学位（偏好 4 年制荣誉学位）；具有 3 年制（非荣誉）学士学位的申请者需要具备至少 1 年工作经验；特定的选修课程可能要求具备基本编程能力,"S$54,000 (不含GST) / S$58,860 (含9%GST)","1 年"
新加坡国立大学,工程设计与创新理学硕士,MSc Engineering Design & Innovation,95%,待查询,新加坡国立大学工程设计与创新理学硕士(MSc EDI)是为迎接 21 世纪的挑战而开发的独特项目，专为已经在各自学科具备应用型知识的专业人士设计，旨在培养学生共同合作，充分发挥他们的创造力和热情以解决社会挑战，如环境可持续性、全球变暖、垃圾超载、交通拥堵等。,https://masters.nus.edu.sg/programmes/master-of-science-in-engineering-design---innovation,雅思: 6.0,2025-10-01 - 2026-02-28,具有学士学位（偏好荣誉学位），需要工程、计算机、商业研究、工业设计或同等学科背景；任何原型制作方面的重要经验都将被考虑；设计作品集（如有）也将被考虑,"S$57,770","1 年"
香港科技大学,数据驱动建模理学硕士,MSc Data-Driven Modeling,70%,待查询,香港科技大学数据驱动建模理学硕士项目由物理系和数学系联合开设，旨在培养下一代在解决问题和逻辑思维方面的强大技能，使他们成为数据科学领域的能手。该专业为学生提供分析大量数据和从中提取重要特征的实践经验，从而为理解复杂情况提供有价值的见解，促进企业、行业和服务的智能决策。,https://prog-crs.hkust.edu.hk/pgprog/2026-27/msc-ddm,雅思: 6.5/5.5,开放：2025-09-01 Round 1: 2025-11-15 Round 2: 2026-02-15 Round 3: 2026-04-15,具有学士学位或同等学历，需要：理工科背景学士学位；或其他学科背景学士学位，同时具备计算相关领域的相关工作经验以及掌握至少一门计算机语言的工作知识并受过微积分和线性代数的基础培训,"HK$260,000","1 年"
南洋理工大学,企业人工智能理学硕士,MSc in Enterprise Artificial Intelligence,83%,待查询,南洋理工大学企业人工智能理学硕士课程旨在通过满足围绕以业务为中心的人工智能技能、非技术领导者的人工智能素养以及负责任的人工智能治理不断增长的学习需求，解决关键的行业需求和人才缺口，它还通过人工智能产品管理和无/低代码平台独特地解决了应用创新问题。相对于现有的人工智能和数字化转型产品，该项目在培养新一代"精通人工智能"的专业人士和商业领袖方面是独一无二的，他们可以推动企业人工智能整合，实现战略价值。,https://www.ntu.edu.sg/education/graduate-programme/master-of-science-in-enterprise-artificial-intelligence,雅思: 6.0,2025-11-01 - 2026-03-31,具有认可机构颁发的荣誉学士学位或同等学历，不限专业背景；该项目也欢迎具有较长工作经历的职业中期专业人士,"S$57,770","1 年，8 月开学"
